date of fixing;O/N;1week;2week;1month;2months;3months;4months;5months;6months;7months;8months;9months;10months;11months;12months
2023.01.02;18.00;17.93;17.54;16.87;16.49;16.21;-;-;15.75;-;-;15.48;-;-;15.25
2023.01.03;18.00;17.93;17.54;16.87;16.50;16.21;-;-;15.75;-;-;15.49;-;-;15.25
2023.01.04;18.00;17.92;17.53;16.85;16.49;16.19;-;-;15.75;-;-;15.49;-;-;15.24
2023.01.05;18.00;17.93;17.51;16.80;16.45;16.15;-;-;15.72;-;-;15.46;-;-;15.20
2023.01.06;18.00;17.91;17.49;16.78;16.43;16.13;-;-;15.70;-;-;15.45;-;-;15.18
2023.01.09;18.00;17.91;17.49;16.75;16.41;16.09;-;-;15.69;-;-;15.44;-;-;15.15
2023.01.10;18.00;17.91;17.51;16.76;16.40;16.09;-;-;15.69;-;-;15.44;-;-;15.13
2023.01.11;18.00;17.91;17.50;16.77;16.40;16.09;-;-;15.69;-;-;15.44;-;-;15.12
2023.01.12;18.00;17.91;17.50;16.77;16.40;16.09;-;-;15.69;-;-;15.44;-;-;15.12
2023.01.13;18.00;17.90;17.50;16.75;16.36;16.04;-;-;15.65;-;-;15.40;-;-;15.02
2023.01.16;18.00;17.90;17.50;16.73;16.36;16.04;-;-;15.65;-;-;15.40;-;-;15.00
2023.01.17;18.00;17.90;17.50;16.73;16.35;16.04;-;-;15.65;-;-;15.40;-;-;15.00
2023.01.18;18.00;17.90;17.50;16.73;16.33;16.03;-;-;15.64;-;-;15.39;-;-;14.99
2023.01.19;18.00;17.90;17.50;16.73;16.32;16.01;-;-;15.62;-;-;15.38;-;-;14.99
2023.01.20;18.00;17.90;17.50;16.73;16.31;16.00;-;-;15.63;-;-;15.39;-;-;14.98
2023.01.23;18.00;17.90;17.50;16.73;16.30;16.00;-;-;15.62;-;-;15.39;-;-;14.95
2023.01.24;18.00;17.90;17.50;16.70;16.29;15.99;-;-;15.60;-;-;15.39;-;-;14.91
2023.01.25;18.00;17.91;17.51;16.78;16.32;16.00;-;-;15.60;-;-;15.40;-;-;14.89
2023.01.26;18.00;17.92;17.54;16.85;16.37;16.02;-;-;15.60;-;-;15.40;-;-;14.88
2023.01.27;18.00;17.93;17.56;16.88;16.39;16.03;-;-;15.61;-;-;15.40;-;-;14.89
2023.01.30;18.00;17.93;17.57;16.92;16.41;16.04;-;-;15.61;-;-;15.40;-;-;14.90
2023.01.31;18.00;17.95;17.58;16.96;16.44;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.01;18.00;17.96;17.60;16.98;16.47;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.02;18.00;17.98;17.60;16.99;16.49;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.03;18.00;17.99;17.60;17.00;16.50;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.06;18.00;18.00;17.60;17.00;16.50;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.07;18.00;18.00;17.60;17.00;16.50;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.08;18.00;18.00;17.60;17.00;16.50;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.09;18.00;18.00;17.60;17.00;16.50;16.05;-;-;15.61;-;-;15.40;-;-;14.90
2023.02.10;18.00;18.00;17.60;17.01;16.54;16.09;-;-;15.65;-;-;15.41;-;-;14.90
2023.02.13;18.00;18.00;17.60;17.04;16.56;16.12;-;-;15.68;-;-;15.42;-;-;14.92
2023.02.14;18.00;18.00;17.60;17.05;16.56;16.13;-;-;15.69;-;-;15.42;-;-;14.93
2023.02.15;18.00;18.00;17.60;17.05;16.56;16.14;-;-;15.70;-;-;15.43;-;-;14.95
2023.02.16;18.00;18.00;17.60;17.05;16.57;16.15;-;-;15.70;-;-;15.45;-;-;14.96
2023.02.17;18.00;18.00;17.60;17.07;16.60;16.18;-;-;15.74;-;-;15.48;-;-;14.99
2023.02.20;18.00;18.00;17.60;17.11;16.61;16.23;-;-;15.82;-;-;15.55;-;-;15.06
2023.02.21;18.00;18.00;17.60;17.12;16.62;16.27;-;-;15.92;-;-;15.61;-;-;15.14
2023.02.22;18.00;18.00;17.60;17.14;16.63;16.29;-;-;15.96;-;-;15.64;-;-;15.17
2023.02.23;18.00;18.00;17.60;17.13;16.62;16.30;-;-;15.98;-;-;15.66;-;-;15.20
2023.02.24;18.00;18.00;17.60;17.13;16.61;16.30;-;-;15.98;-;-;15.65;-;-;15.20
2023.02.27;18.00;18.00;17.60;17.13;16.61;16.28;-;-;15.98;-;-;15.65;-;-;15.20
2023.02.28;18.00;18.00;17.60;17.13;16.61;16.28;-;-;15.99;-;-;15.65;-;-;15.20
2023.03.01;18.00;18.00;17.60;17.14;16.61;16.29;-;-;15.99;-;-;15.67;-;-;15.20
2023.03.02;18.00;18.00;17.60;17.15;16.61;16.29;-;-;16.00;-;-;15.67;-;-;15.20
2023.03.03;18.00;18.00;17.60;17.16;16.60;16.29;-;-;15.99;-;-;15.67;-;-;15.20
2023.03.06;18.00;18.00;17.60;17.16;16.60;16.29;-;-;15.99;-;-;15.66;-;-;15.20
2023.03.07;18.00;18.00;17.60;17.16;16.60;16.29;-;-;15.99;-;-;15.66;-;-;15.19
2023.03.08;18.00;18.00;17.60;17.16;16.60;16.29;-;-;15.99;-;-;15.65;-;-;15.19
2023.03.09;18.00;18.00;17.60;17.16;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.03.10;18.00;18.00;17.60;17.16;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.03.13;18.00;18.00;17.60;17.15;16.60;16.29;-;-;15.99;-;-;15.64;-;-;15.19
2023.03.14;18.00;18.00;17.60;17.16;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.16;18.00;18.00;17.60;17.17;16.60;16.30;-;-;16.00;-;-;15.65;-;-;15.20
2023.03.17;18.00;18.00;17.60;17.18;16.60;16.31;-;-;16.01;-;-;15.65;-;-;15.20
2023.03.20;18.00;18.00;17.60;17.18;16.60;16.31;-;-;16.01;-;-;15.65;-;-;15.20
2023.03.21;18.00;18.00;17.60;17.19;16.60;16.31;-;-;16.00;-;-;15.66;-;-;15.20
2023.03.22;18.00;18.00;17.60;17.19;16.60;16.31;-;-;16.00;-;-;15.65;-;-;15.20
2023.03.23;18.00;18.00;17.60;17.19;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.24;18.00;18.00;17.60;17.19;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.27;18.00;18.00;17.60;17.19;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.28;18.00;18.00;17.59;17.18;16.60;16.30;-;-;15.99;-;-;15.63;-;-;15.20
2023.03.29;18.00;18.00;17.60;17.19;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.30;18.00;18.00;17.62;17.19;16.60;16.30;-;-;16.00;-;-;15.64;-;-;15.20
2023.03.31;18.00;18.00;17.63;17.19;16.60;16.30;-;-;16.00;-;-;15.65;-;-;15.20
2023.04.03;18.00;18.00;17.65;17.20;16.60;16.30;-;-;16.00;-;-;15.65;-;-;15.20
2023.04.04;18.00;18.00;17.66;17.20;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.04.05;18.00;18.00;17.66;17.20;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.04.06;18.00;18.00;17.66;17.20;16.60;16.30;-;-;16.00;-;-;15.65;-;-;15.20
2023.04.11;18.00;18.00;17.66;17.20;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.04.12;18.00;18.00;17.66;17.20;16.60;16.30;-;-;16.00;-;-;15.66;-;-;15.20
2023.04.13;18.00;18.00;17.67;17.21;16.61;16.31;-;-;16.01;-;-;15.66;-;-;15.21
2023.04.14;18.00;18.00;17.67;17.21;16.61;16.31;-;-;16.01;-;-;15.67;-;-;15.21
2023.04.17;18.00;18.00;17.67;17.21;16.61;16.31;-;-;16.01;-;-;15.67;-;-;15.21
2023.04.18;18.00;18.00;17.67;17.21;16.61;16.31;-;-;16.01;-;-;15.67;-;-;15.21
2023.04.19;18.00;18.00;17.65;17.18;16.60;16.29;-;-;15.96;-;-;15.61;-;-;15.15
2023.04.20;18.00;18.00;17.65;17.15;16.62;16.27;-;-;15.93;-;-;15.56;-;-;15.10
2023.04.21;18.00;18.00;17.65;17.14;16.60;16.25;-;-;15.91;-;-;15.53;-;-;15.07
2023.04.24;18.00;18.00;17.65;17.12;16.60;16.25;-;-;15.90;-;-;15.52;-;-;15.05
2023.04.25;18.00;18.00;17.65;17.10;16.59;16.24;-;-;15.87;-;-;15.48;-;-;15.01
2023.04.26;18.00;18.00;17.65;17.10;16.59;16.24;-;-;15.85;-;-;15.46;-;-;14.98
2023.04.27;18.00;18.00;17.65;17.09;16.59;16.24;-;-;15.83;-;-;15.44;-;-;14.96
2023.04.28;18.00;18.00;17.65;17.09;16.58;16.23;-;-;15.82;-;-;15.43;-;-;14.95
2023.05.02;18.00;18.00;17.65;17.09;16.58;16.23;-;-;15.82;-;-;15.43;-;-;14.94
2023.05.03;18.00;18.00;17.65;17.08;16.58;16.22;-;-;15.81;-;-;15.42;-;-;14.92
2023.05.04;18.00;18.00;17.65;17.07;16.57;16.21;-;-;15.80;-;-;15.40;-;-;14.90
2023.05.05;18.00;18.00;17.65;17.06;16.56;16.20;-;-;15.80;-;-;15.39;-;-;14.87
2023.05.08;18.00;18.00;17.65;17.05;16.56;16.20;-;-;15.80;-;-;15.39;-;-;14.86
2023.05.09;18.00;18.00;17.65;17.05;16.56;16.20;-;-;15.80;-;-;15.39;-;-;14.85
