Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.01.05;A231124A07;2023.11.24;103.3132;103.5145;0.6904
2022.01.05;A220624A11;2022.06.24;101.8021;101.8451;3.7397
2022.01.05;A281022A11;2028.10.22;112.7765;113.4614;1.387
2022.01.05;A250624B14;2025.06.24;103.8573;104.248;2.9384
2022.01.05;A240626B15;2024.06.26;97.2451;97.5169;1.5863
2022.01.05;A311022A15;2031.10.22;90.1869;90.9951;0.6678
2022.01.05;A271027A16;2027.10.27;92.5657;93.2386;0.5753
2022.01.05;A221026B17;2022.10.26;98.9613;99.0701;0.3404
2022.01.05;A261222D17;2026.12.22;92.7007;93.2025;0.1055
2022.01.05;A230726B18;2023.07.26;100.15;100.5;0.3905
2022.01.05;A381027A18;2038.10.27;80.2343;81.3375;0.5753
2022.01.05;A241024C18;2024.10.24;95.5876;95.789;0.5
2022.01.05;A300821A19;2030.08.21;89.0622;89.9821;1.126
2022.01.05;A220824C19;2022.08.24;99.2584;99.3015;0.5507
2022.01.05;A251126C19;2025.11.26;88.6637;89.0232;0.1096
2022.01.05;A270422B20;2027.04.22;98.44;98.8;0.3938
2022.01.05;A410425A20;2041.04.25;78.1865;79.3684;2.0959
2022.01.05;A230823C20;2023.08.23;96.6198;96.8321;0.5548
2022.01.05;A290523A20;2029.05.23;84.3059;85.0316;1.2438
2022.01.05;A260422E20;2026.04.22;88.9048;89.262;1.0603
2022.01.05;A330420A20;2033.04.20;80.3358;81.1803;1.6027
2022.01.05;A340622A21;2034.06.22;77.113;77.9903;1.2144
2022.01.05;A290822B21;2029.08.22;97.25;97.7;0.2994
2022.01.05;A260826F21;2026.08.26;88.022;88.4796;0.5425
2022.01.05;A510428G21;2051.04.28;86.8274;88.6736;2.7616
2022.01.05;D220504;2022.05.04;99.2617;99.3106;0
2022.01.05;D220629;2022.06.29;98.7092;98.7756;0
2022.01.05;D220824;2022.08.24;98.1299;98.2041;0
2022.01.05;D221019;2022.10.19;97.7632;97.847;0
2022.01.05;D221228;2022.12.28;96.5069;96.6456;0
2022.01.06;A231124A07;2023.11.24;103.0171;103.2172;0.7068
2022.01.06;A220624A11;2022.06.24;101.7156;101.7392;3.7589
2022.01.06;A281022A11;2028.10.22;111.4793;112.2772;1.4055
2022.01.06;A250624B14;2025.06.24;103.0154;103.4016;2.9534
