Date;Hozam;Price;;0.0192
2023.06.30;11.32;99.79432719;;
2023.06.29;11.45;99.79210813;;
2023.06.28;11.54;99.79053916;;
2023.06.27;11.74;99.78706563;;
2023.06.26;11.88;99.78464619;;
2023.06.23;12.40;99.77588043;;
2023.06.22;13.20;99.76219112;;
2023.06.21;14.00;99.74880576;;
2023.06.20;14.02;99.74833205;;
2023.06.19;13.91;99.75024442;;
2023.06.16;14.05;99.74787525;;
2023.06.15;13.99;99.74883768;;
2023.06.14;14.05;99.74782823;;
2023.06.13;14.02;99.74837236;;
2023.06.12;14.04;99.74803814;;
2023.06.09;14.18;99.74566839;;
2023.06.08;14.18;99.745712;;
2023.06.07;14.05;99.74781984;;
2023.06.06;14.06;99.74774092;;
2023.06.05;14.64;99.73801569;;
2023.06.02;15.11;99.73017277;;
2023.06.01;15.23;99.72816605;;
2023.05.31;15.32;99.72664125;;
2023.05.30;15.20;99.72871781;;
2023.05.26;15.16;99.7293113;;
2023.05.25;15.14;99.72971538;;
2023.05.24;15.58;99.72242044;;
2023.05.23;15.70;99.72031773;;
2023.05.22;15.67;99.72084898;;
2023.05.19;15.49;99.72384732;;
2023.05.18;15.59;99.72223988;;
2023.05.17;15.79;99.71897124;;
2023.05.16;16.11;99.71368561;;
2023.05.15;16.15;99.71289265;;
2023.05.12;16.25;99.71127314;;
2023.05.11;16.38;99.70920918;;
2023.05.10;16.25;99.71125996;;
2023.05.09;15.37;99.72585939;;
2023.05.08;16.23;99.71169147;;
2023.05.05;15.25;99.72780052;;
2023.05.04;16.06;99.71441953;;
2023.05.03;16.08;99.71413582;;
2023.05.02;16.03;99.71501841;;
